question_id,question_text,ideal_answer,keywords_main,keywords_optional
Q1,What is an operating system?,An operating system is system software that manages computer hardware and provides services for application programs.,system software | manages hardware | services for applications | application | applications | computer | hardware | manages | operating | programs | provides | services | software | system,memory management|process management|resource management
Q2,Define 'Data' in ICT.,Data implies raw facts and figures which have no specific meaning until processed.,raw facts figures | no specific meaning | 'data' | data | define | facts | figures | have | ict | implies | meaning | no | processed | raw | specific | until,unprocessed | text numbers
Q3,Define 'Information'.,Information is processed data that conveys a specific meaning and is useful for decision making.,processed data | conveys meaning | decision making | 'information' | conveys | data | decision | define | information | making | meaning | processed | specific | useful,meaningful | context
Q4,What is the 'Von Neumann Architecture'?,"It is a computer architecture design that consists of a Processing Unit, Control Unit, Memory, Input/Output mechanisms, and a bus system.",Processing Unit | Control Unit | Memory | Input Output | 'von | architecture | architecture' | bus | computer | consists | control | design | input | mechanisms | memory | neumann | output | processing | system | unit,stored program concept | CPU
Q5,What is a 'Volatile Memory'?,"Volatile memory is computer storage that only maintains its data while the device is powered (e.g., RAM).",maintains data while powered | loses data no power | 'volatile | computer | data | device | its | loses | maintains | memory | memory' | no | only | power | powered | ram | storage | volatile | while,RAM | temporary storage
Q6,Convert the binary number 1010 to decimal.,The binary number 1010 is equal to 10 in decimal (8 + 0 + 2 + 0).,10 | 10 | 1010 | binary | convert | decimal | equal | number,decimal conversion | binary
Q7,What is 'Two's Complement'?,It is a mathematical operation on binary numbers used to represent signed integers and simplify subtraction operations.,represent signed integers | simplify subtraction | 'two's | binary | complement' | integers | mathematical | numbers | operation | operations | represent | signed | simplify | subtraction | used,binary arithmetic | negative numbers
Q8,What is 'Unicode'?,"Unicode is a computing industry standard for the consistent encoding, representation, and handling of text expressed in most of the world's writing systems.",encoding standard | world's writing systems | 'unicode' | computing | consistent | encoding | expressed | handling | industry | most | representation | standard | systems | text | unicode | world's | writing,text representation | UTF-8
Q9,What is a 'Truth Table' in Logic Gates?,A truth table is a mathematical table used in logic to compute the functional values of logical expressions based on their input combinations.,mathematical table | input combinations | logical expressions | 'truth | based | combinations | compute | expressions | functional | gates | input | logic | logical | mathematical | table | table' | their | truth | used | values,logic gates | output values
Q10,Describe the function of an 'AND' gate.,An AND gate produces a HIGH output (1) only if all its inputs are HIGH (1).,HIGH output if all inputs HIGH | logic 1 | 'and' | all | describe | function | gate | high | if | inputs | its | logic | only | output | produces,multiplication | logic gate
Q11,What is a 'Flip-Flop' in digital circuits?,A flip-flop is a circuit that has two stable states and can be used to store state information (a single bit of data).,two stable states | store state information | 'flip | bit | can | circuit | circuits | data | digital | flip | flop | flop' | has | information | single | stable | state | states | store | two | used,memory element | sequential logic
Q12,What is an 'Operating System' (OS)?,"An OS is system software that manages computer hardware, software resources, and provides common services for computer programs.",system software | manages hardware software | common services | 'operating | common | computer | hardware | manages | os | programs | provides | resources | services | software | system | system',interface | resource management
Q13,What is 'Process Management' in an OS?,"It involves managing the creation, scheduling, and termination of processes (programs in execution) by the CPU.",creation scheduling termination | programs in execution | 'process | cpu | creation | execution | involves | management' | managing | os | processes | programs | scheduling | termination,CPU scheduling | process
Q14,Define 'Context Switching'.,Context switching is the process of storing the state of a process or thread so that it can be restored and resume execution later.,storing state | resume execution | process thread | 'context | can | context | define | execution | later | process | restored | resume | so | state | storing | switching | switching' | thread,CPU | multitasking
Q15,What is 'Virtual Memory'?,Virtual memory is a memory management capability of an OS that uses hardware and software to allow a computer to compensate for physical memory shortages by temporarily transferring data to disk storage.,memory management | compensate shortages | transfer to disk | 'virtual | allow | capability | compensate | computer | data | disk | hardware | management | memory | memory' | os | physical | shortages | software | storage | temporarily | transfer | transferring | uses | virtual,paging | RAM extension
Q16,What is 'Fragmentation' in memory management?,"Fragmentation is a phenomenon where storage space is used inefficiently, reducing capacity or performance (can be internal or external).",storage used inefficiently | reducing capacity | 'fragmentation' | can | capacity | external | fragmentation | inefficiently | internal | management | memory | performance | phenomenon | reducing | space | storage | used,memory holes |internal external
Q17,What is a 'Device Driver'?,A device driver is a computer program that operates or controls a particular type of device that is attached to a computer.,operates controls device | attached to computer | 'device | attached | computer | controls | device | driver | driver' | operates | particular | program | type,hardware interface |software
Q18,What is 'Spooling'?,"Spooling is a process where data is temporarily held to be used and executed by a device, program, or system (common in printing).",temporarily held | executed by device | 'spooling' | common | data | device | executed | held | printing | process | program | spooling | system | temporarily | used,buffer | printing
Q19,Define 'Data Transmission Speed' (Bandwidth).,"It refers to the maximum rate of data transfer across a given path, typically measured in bits per second (bps).","maximum rate | data transfer, bits per second | 'data | across | bandwidth | bits | bps | data | define | given | maximum | measured | path | per | rate | refers | second | speed' | transfer | transmission | typically",bps | capacity
Q20,What is 'Simplex Mode' in transmission?,"In simplex mode, communication is unidirectional; data flows in only one direction (e.g., Radio broadcasting).",unidirectional | one direction | 'simplex | broadcasting | communication | data | direction | flows | mode | mode' | one | only | radio | simplex | transmission | unidirectional,transmission mode| broadcasting
Q21,What is 'Half-Duplex Mode'?,"Data can be transmitted in both directions, but not at the same time (e.g., Walkie-Talkie).",both directions | not same time | 'half | both | but | can | data | directions | duplex | mode' | not | same | talkie | time | transmitted | walkie,bidirectional | walkie-talkie
Q22,What is 'Full-Duplex Mode'?,"Data can be transmitted in both directions simultaneously (e.g., Telephone conversation).",both directions | simultaneously | 'full | both | can | conversation | data | directions | duplex | mode' | simultaneously | telephone | transmitted,bidirectional | telephone
Q23,What is 'Multiplexing'?,Multiplexing is a method by which multiple analog or digital signals are combined into one signal over a shared medium.,combine multiple signals | one signal | shared medium | 'multiplexing' | analog | combine | combined | digital | medium | method | multiple | multiplexing | one | over | shared | signal | signals,MUX | transmission
Q24,What is 'Guided Media'?,"Guided media uses a physical path (cables) to transmit signals, such as twisted pair, coaxial cable, or fiber optics.",physical path | cables | 'guided | cable | cables | coaxial | fiber | guided | media | media' | optics | pair | path | physical | signals | transmit | twisted | uses,wired | transmission medium
Q25,What is 'Fiber Optic' cable?,"A cable containing glass or plastic fibers that transmit data using light pulses, offering high speed and long-distance transmission.",glass plastic fibers | light pulses | high speed | 'fiber | cable | containing | data | distance | fibers | glass | high | light | long | offering | optic' | plastic | pulses | speed | transmission | transmit | using,transmission medium | total internal reflection
Q26,What is the 'OSI Model'?,"The Open Systems Interconnection (OSI) model is a conceptual framework used to describe the functions of a networking system, divided into 7 layers",conceptual framework | networking functions | 7 layers | 'osi | conceptual | describe | divided | framework | functions | interconnection | layers | model | model' | networking | open | osi | system | systems | used,ISO | network architecture
Q27,Name the 7 layers of the OSI model.,"Physical, Data Link, Network, Transport, Session, Presentation, Application.",Physical Data Link Network Transport Session Presentation Application | application | data | layers | link | model | name | network | osi | physical | presentation | session | transport,7 layers | hierarchy
Q28,What is the function of the 'Network Layer'?,It is responsible for determining the path (routing) and logical addressing (IP addressing) of data packets.,routing | logical addressing | IP address | 'network | address | addressing | data | determining | function | ip | layer' | logical | packets | path | responsible | routing,path determination | layer 3
Q29,What is a 'MAC Address'?,A Media Access Control (MAC) address is a unique identifier assigned to a network interface controller (NIC) for use as a network address.,unique identifier | NIC | network address | 'mac | access | address | address' | assigned | control | controller | identifier | interface | mac | media | network | nic | unique | use,physical address | hardware address
Q30,What is an 'IP Address'?,An Internet Protocol (IP) address is a numerical label assigned to each device connected to a computer network that uses the Internet Protocol for communication.,numerical label | device network | communication | 'ip | address | address' | assigned | communication | computer | connected | device | each | internet | ip | label | network | numerical | protocol | uses,logical address |IPv4 IPv6
Q31,What is a 'Router'?,A router is a networking device that forwards data packets between computer networks.,forwards data packets | between networks | 'router' | between | computer | data | device | forwards | networking | networks | packets | router,networking device | routing
Q32,What is 'Packet Switching'?,"A method of grouping data that is transmitted over a digital network into packets, which are sent independently and reassembled at the destination.",grouping data | packets | independent transmission | 'packet | data | destination | digital | grouping | independent | independently | method | network | over | packets | reassembled | sent | switching' | transmission | transmitted,network | efficient
Q33,Define 'Systems Development Life Cycle' (SDLC).,"SDLC is a process for planning, creating, testing, and deploying an information system.",planning creating testing deploying | information system | 'systems | creating | cycle' | define | deploying | development | information | life | planning | process | sdlc | system | testing,software development |  phases
Q34,What is the 'Waterfall Model'?,"It is a linear sequential design approach for software development where progress flows downwards through phases like requirements, analysis, design, implementation, and testing.",linear sequential | flows downwards | phases | 'waterfall | analysis | approach | design | development | downwards | flows | implementation | like | linear | model' | phases | progress | requirements | sequential | software | testing | through,SDLC model | traditional
Q35,What is a 'Feasibility Study'?,"An assessment of the practicality of a proposed project or system (Technical, Economic, Operational).",assessment practicality | proposed project | 'feasibility | assessment | economic | operational | practicality | project | proposed | study' | system | technical,analysis |  TELOS
Q36,What are 'Functional Requirements'?,Requirements that define specific behaviors or functions of the system (what the system should do).,define specific behaviors | functions | what system does | 'functional | behaviors | define | do | does | functions | requirements | requirements' | should | specific | system,requirements analysis | input output
Q37,What are 'Non-Functional Requirements'?,"Requirements that specify criteria that can be used to judge the operation of a system (how the system performs), like security or speed.",judge operation | how system performs | 'non | can | criteria | functional | judge | like | operation | performs | requirements | requirements' | security | specify | speed | system | used,performance | security reliability
Q38,What is a 'Database Management System' (DBMS)?,"A DBMS is software that interacts with end-users, applications, and the database itself to capture and analyze data.",software | interacts users applications database | capture analyze | 'database | analyze | applications | capture | data | database | dbms | end | interacts | itself | management | software | system' | users,software tool |  manage data
Q39,What is an 'ER Diagram' (ERD)?,An Entity-Relationship Diagram shows the relationships of entity sets stored in a database using graphical symbols.,relationships of entity sets | graphical symbols | 'er | database | diagram | diagram' | entity | erd | graphical | relationship | relationships | sets | shows | stored | symbols | using,database design | modeling
Q40,What is an 'Entity' in a database?,"An entity is an object or concept in the real world that is distinguishable from all other objects (e.g., Student, Car).",object concept | real world | distinguishable | 'entity' | all | car | concept | database | distinguishable | entity | object | objects | other | real | student | world,table | record
Q41,What is an 'Attribute' in an ERD?,"An attribute is a property or characteristic of an entity (e.g., Student Name, Age).",property characteristic | of entity | 'attribute' | age | attribute | characteristic | entity | erd | name | property | student,column | field
Q42,Define 'Normalization' in databases.,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity.,organizing data | reduce redundancy | improve integrity | 'normalization' | data | database | databases | define | improve | integrity | normalization | organizing | process | reduce | redundancy,database design | 1NF 2NF 3NF
Q43,What is 'Data Redundancy'?,"It is the unnecessary repetition of data within a database, which can lead to inconsistencies.",unnecessary repetition | database | 'data | can | data | database | inconsistencies | lead | redundancy' | repetition | unnecessary | within,duplicate data | storage waste
Q44,What is 'SQL' (Structured Query Language)?,"SQL is a standard language for storing, manipulating, and retrieving data in databases.",standard language | storing manipulating retrieving | 'sql' | data | databases | language | manipulating | query | retrieving | sql | standard | storing | structured,database language | queries
