question_text,student_answer,grade_label,marks,combined_text
what is an operating system,and system manages provides operating software hardware services computer system that application for an programs,GOOD,10,what is an operating system [SEP] and system manages provides operating software hardware services computer system that application for an programs
what is an operating system,provides manages hardware system operating system software computer resource management,PARTIAL,5,what is an operating system [SEP] provides manages hardware system operating system software computer resource management
what is an operating system,services,WEAK,2,what is an operating system [SEP] services
what is an operating system,the human readable instructions written by a programmer in a high level programming language,INCORRECT,0,what is an operating system [SEP] the human readable instructions written by a programmer in a high level programming language
what is an operating system,i don t know,INCORRECT,0,what is an operating system [SEP] i don t know
define data in ict,data implies raw facts and figures which have no specific meaning until processed,GOOD,10,define data in ict [SEP] data implies raw facts and figures which have no specific meaning until processed
define data in ict,figures raw facts figures data ict until define no implies,PARTIAL,5,define data in ict [SEP] figures raw facts figures data ict until define no implies
define data in ict,no specific meaning,WEAK,2,define data in ict [SEP] no specific meaning
define data in ict,i don t know,INCORRECT,0,define data in ict [SEP] i don t know
define data in ict,i don t know,INCORRECT,0,define data in ict [SEP] i don t know
define information,information is processed data that conveys a specific meaning and is useful for decision making,GOOD,10,define information [SEP] information is processed data that conveys a specific meaning and is useful for decision making
define information,conveys processed data making useful information decision decision making context,PARTIAL,5,define information [SEP] conveys processed data making useful information decision decision making context
define information,useful,WEAK,2,define information [SEP] useful
define information,a bidirectional bus used to transfer actual data between the cpu memory and i o devices,INCORRECT,0,define information [SEP] a bidirectional bus used to transfer actual data between the cpu memory and i o devices
define information,i don t know,INCORRECT,0,define information [SEP] i don t know
what is the von neumann architecture,computer and unit bus system unit that design processing a architecture consists is output a input memory mechanisms a control it,GOOD,10,what is the von neumann architecture [SEP] computer and unit bus system unit that design processing a architecture consists is output a input memory mechanisms a control it
what is the von neumann architecture,memory consists processing computer input output input architecture system mechanisms architecture,PARTIAL,5,what is the von neumann architecture [SEP] memory consists processing computer input output input architecture system mechanisms architecture
what is the von neumann architecture,processing unit,WEAK,2,what is the von neumann architecture [SEP] processing unit
what is the von neumann architecture,a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key,INCORRECT,0,what is the von neumann architecture [SEP] a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key
what is the von neumann architecture,an entity user or other system that interacts with the system being modeled,INCORRECT,0,what is the von neumann architecture [SEP] an entity user or other system that interacts with the system being modeled
what is a volatile memory,volatile memory is computer storage that only maintains its data while the device is powered e g ram,GOOD,10,what is a volatile memory [SEP] volatile memory is computer storage that only maintains its data while the device is powered e g ram
what is a volatile memory,computer memory ram data storage device powered no volatile loses temporary storage,PARTIAL,5,what is a volatile memory [SEP] computer memory ram data storage device powered no volatile loses temporary storage
what is a volatile memory,no,WEAK,2,what is a volatile memory [SEP] no
what is a volatile memory,an os is system software that manages computer hardware software resources and provides common services for computer programs,INCORRECT,0,what is a volatile memory [SEP] an os is system software that manages computer hardware software resources and provides common services for computer programs
what is a volatile memory,a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly,INCORRECT,0,what is a volatile memory [SEP] a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly
convert the binary number 1010 to decimal,decimal 0 10 in 0 1010 the binary equal to 8 2 is,GOOD,10,convert the binary number 1010 to decimal [SEP] decimal 0 10 in 0 1010 the binary equal to 8 2 is
convert the binary number 1010 to decimal,decimal 10 number 1010 binary,PARTIAL,5,convert the binary number 1010 to decimal [SEP] decimal 10 number 1010 binary
convert the binary number 1010 to decimal,convert,WEAK,2,convert the binary number 1010 to decimal [SEP] convert
convert the binary number 1010 to decimal,it opens a file for reading only this is the default mode,INCORRECT,0,convert the binary number 1010 to decimal [SEP] it opens a file for reading only this is the default mode
convert the binary number 1010 to decimal,i don t know,INCORRECT,0,convert the binary number 1010 to decimal [SEP] i don t know
what is two s complement,it is a mathematical operation on binary numbers used to represent signed integers and simplify subtraction operations,GOOD,10,what is two s complement [SEP] it is a mathematical operation on binary numbers used to represent signed integers and simplify subtraction operations
what is two s complement,operation simplify represent signed integers complement integers binary operations signed binary arithmetic,PARTIAL,5,what is two s complement [SEP] operation simplify represent signed integers complement integers binary operations signed binary arithmetic
what is two s complement,numbers,WEAK,2,what is two s complement [SEP] numbers
what is two s complement,it is used to assign a value to a variable e g x 5,INCORRECT,0,what is two s complement [SEP] it is used to assign a value to a variable e g x 5
what is two s complement,requirements that specify criteria that can be used to judge the operation of a system how the system performs like security or speed,INCORRECT,0,what is two s complement [SEP] requirements that specify criteria that can be used to judge the operation of a system how the system performs like security or speed
what is unicode,unicode is a computing industry standard for the consistent encoding representation and handling of text expressed in most of the world s writing systems,GOOD,10,what is unicode [SEP] unicode is a computing industry standard for the consistent encoding representation and handling of text expressed in most of the world s writing systems
what is unicode,consistent encoding standard unicode industry world s text systems world s writing systems,PARTIAL,5,what is unicode [SEP] consistent encoding standard unicode industry world s text systems world s writing systems
what is unicode,standard,WEAK,2,what is unicode [SEP] standard
what is unicode,data implies raw facts and figures which have no specific meaning until processed,INCORRECT,0,what is unicode [SEP] data implies raw facts and figures which have no specific meaning until processed
what is unicode,i don t know,INCORRECT,0,what is unicode [SEP] i don t know
what is a truth table in logic gates,based in expressions table input values compute to combinations used functional of is a on truth mathematical logic logical their the,GOOD,10,what is a truth table in logic gates [SEP] based in expressions table input values compute to combinations used functional of is a on truth mathematical logic logical their the
what is a truth table in logic gates,logic mathematical table truth expressions mathematical truth table table compute their,PARTIAL,5,what is a truth table in logic gates [SEP] logic mathematical table truth expressions mathematical truth table table compute their
what is a truth table in logic gates,based,WEAK,2,what is a truth table in logic gates [SEP] based
what is a truth table in logic gates,a communication mode where data flows in only one direction e g radio broadcasting,INCORRECT,0,what is a truth table in logic gates [SEP] a communication mode where data flows in only one direction e g radio broadcasting
what is a truth table in logic gates,the final phase involving correcting errors improving performance and adapting the software to a changed environment,INCORRECT,0,what is a truth table in logic gates [SEP] the final phase involving correcting errors improving performance and adapting the software to a changed environment
describe the function of an and gate,an a high output 1 only if all its inputs are high 1,GOOD,10,describe the function of an and gate [SEP] an a high output 1 only if all its inputs are high 1
describe the function of an and gate,describe high output and high output if all inputs high only inputs logic,PARTIAL,5,describe the function of an and gate [SEP] describe high output and high output if all inputs high only inputs logic
describe the function of an and gate,output,WEAK,2,describe the function of an and gate [SEP] output
describe the function of an and gate,software that aims to gather information about a person or organization without their knowledge,INCORRECT,0,describe the function of an and gate [SEP] software that aims to gather information about a person or organization without their knowledge
describe the function of an and gate,the practice of dividing a single physical network into two or more smaller logical sub networks subnets to improve efficiency and security,INCORRECT,0,describe the function of an and gate [SEP] the practice of dividing a single physical network into two or more smaller logical sub networks subnets to improve efficiency and security
what is a flip flop in digital circuits,a flip flop is a circuit that has two stable states and can be used to store state information a single bit of data,GOOD,10,what is a flip flop in digital circuits [SEP] a flip flop is a circuit that has two stable states and can be used to store state information a single bit of data
what is a flip flop in digital circuits,flop circuits stable circuit states two can bit store information sequential logic,PARTIAL,5,what is a flip flop in digital circuits [SEP] flop circuits stable circuit states two can bit store information sequential logic
what is a flip flop in digital circuits,used,WEAK,2,what is a flip flop in digital circuits [SEP] used
what is a flip flop in digital circuits,virtual memory is a memory management capability of an os that uses hardware and software to allow a computer to compensate for physical memory shortages by temporarily transferring data to disk storage,INCORRECT,0,what is a flip flop in digital circuits [SEP] virtual memory is a memory management capability of an os that uses hardware and software to allow a computer to compensate for physical memory shortages by temporarily transferring data to disk storage
what is a flip flop in digital circuits,a software design technique that emphasizes separating the functionality of a program into independent interchangeable modules,INCORRECT,0,what is a flip flop in digital circuits [SEP] a software design technique that emphasizes separating the functionality of a program into independent interchangeable modules
what is an operating system os,an is system software that manages computer hardware software resources and provides common services computer,GOOD,10,what is an operating system os [SEP] an is system software that manages computer hardware software resources and provides common services computer
what is an operating system os,operating programs common common services software system services manages,PARTIAL,5,what is an operating system os [SEP] operating programs common common services software system services manages
what is an operating system os,os,WEAK,2,what is an operating system os [SEP] os
what is an operating system os,the complement of the sum of two variables is equal to the product of their complements a b a b,INCORRECT,0,what is an operating system os [SEP] the complement of the sum of two variables is equal to the product of their complements a b a b
what is an operating system os,the maximum rate of data transfer across a given path usually measured in bits per second,INCORRECT,0,what is an operating system os [SEP] the maximum rate of data transfer across a given path usually measured in bits per second
what is process management in an os,it involves managing the creation scheduling and termination of processes programs in execution by the cpu,GOOD,10,what is process management in an os [SEP] it involves managing the creation scheduling and termination of processes programs in execution by the cpu
what is process management in an os,programs in execution scheduling process execution management creation scheduling termination cpu cpu scheduling,PARTIAL,5,what is process management in an os [SEP] programs in execution scheduling process execution management creation scheduling termination cpu cpu scheduling
what is process management in an os,creation,WEAK,2,what is process management in an os [SEP] creation
what is process management in an os,by using the hash symbol at the beginning of the line or code block,INCORRECT,0,what is process management in an os [SEP] by using the hash symbol at the beginning of the line or code block
what is process management in an os,a column or set of columns in a table that can uniquely identify any database record without referring to any other data,INCORRECT,0,what is process management in an os [SEP] a column or set of columns in a table that can uniquely identify any database record without referring to any other data
define context switching,context switching is the process of storing the state of a process or thread so that be and resume execution later,GOOD,10,define context switching [SEP] context switching is the process of storing the state of a process or thread so that be and resume execution later
define context switching,switching later state process thread switching define restored thread can,PARTIAL,5,define context switching [SEP] switching later state process thread switching define restored thread can
define context switching,execution,WEAK,2,define context switching [SEP] execution
define context switching,the rate at which a processor executes instructions typically measured in hertz hz or gigahertz ghz,INCORRECT,0,define context switching [SEP] the rate at which a processor executes instructions typically measured in hertz hz or gigahertz ghz
define context switching,i don t know,INCORRECT,0,define context switching [SEP] i don t know
what is virtual memory,virtual memory is a memory capability of an os that hardware and software to allow a to compensate for physical memory shortages by temporarily transferring data to disk storage,GOOD,10,what is virtual memory [SEP] virtual memory is a memory capability of an os that hardware and software to allow a to compensate for physical memory shortages by temporarily transferring data to disk storage
what is virtual memory,transfer shortages physical memory computer memory disk transfer to disk software capability uses temporarily,PARTIAL,5,what is virtual memory [SEP] transfer shortages physical memory computer memory disk transfer to disk software capability uses temporarily
what is virtual memory,memory,WEAK,2,what is virtual memory [SEP] memory
what is virtual memory,a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key,INCORRECT,0,what is virtual memory [SEP] a relation is in 3nf if it is in 2nf and has no transitive dependencies non key attributes depend only on the primary key
what is virtual memory,a software design technique that emphasizes separating the functionality of a program into independent interchangeable modules,INCORRECT,0,what is virtual memory [SEP] a software design technique that emphasizes separating the functionality of a program into independent interchangeable modules
what is fragmentation in memory management,fragmentation is a phenomenon where storage space is used inefficiently reducing capacity or performance can be internal or external,GOOD,10,what is fragmentation in memory management [SEP] fragmentation is a phenomenon where storage space is used inefficiently reducing capacity or performance can be internal or external
what is fragmentation in memory management,space capacity management fragmentation reducing internal reducing capacity external,PARTIAL,5,what is fragmentation in memory management [SEP] space capacity management fragmentation reducing internal reducing capacity external
what is fragmentation in memory management,fragmentation,WEAK,2,what is fragmentation in memory management [SEP] fragmentation
what is fragmentation in memory management,a network architecture where tasks are partitioned between service providers servers and service requesters clients,INCORRECT,0,what is fragmentation in memory management [SEP] a network architecture where tasks are partitioned between service providers servers and service requesters clients
what is fragmentation in memory management,i don t know,INCORRECT,0,what is fragmentation in memory management [SEP] i don t know
